Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
04/01/2010,626.95,629.51,624.24,626.75,3908400,0,1,314.4456636,315.7296271,313.0864679,314.345354,3908400
05/01/2010,627.18,627.84,621.54,623.99,6003300,0,1,314.5610197,314.8920416,311.7322877,312.9610809,6003300
06/01/2010,625.86,625.86,606.36,608.26,7949400,0,1,313.8989761,313.8989761,304.1187856,305.0717272,7949400
07/01/2010,609.4,610,592.65,594.1,12815700,0,1,305.6434922,305.9444211,297.2425593,297.9698042,12815700
08/01/2010,592,603.25,589.11,602.02,9439100,0,1,296.916553,302.5589706,295.4670786,301.9420662,9439100
11/01/2010,604.46,604.46,594.04,601.11,14411300,0,1,303.1658439,303.1658439,297.9397113,301.4856573,14411300
12/01/2010,598.08,598.16,588,590.48,9696800,0,1,299.9659662,300.0060901,294.91036,296.1541996,9696800
13/01/2010,576.49,588.38,573.9,587.09,12980200,0,1,289.1375399,295.1009484,287.83853,294.4539511,12980200
14/01/2010,583.9,594.2,582.81,589.85,8471700,0,1,292.8540123,298.0199591,292.3073247,295.8382243,8471700
15/01/2010,591.59,593.56,578.04,580,10858100,0,1,296.7109182,297.6989682,289.9149396,290.8979742,10858100
19/01/2010,581.49,590.42,576.29,587.62,8624700,0,1,291.645281,296.1241067,289.0372302,294.7197717,8624700
20/01/2010,585.98,585.98,575.29,580.41,6494800,0,1,293.8972326,293.8972326,288.535682,291.103609,6494800
21/01/2010,583.44,586.8185,572.251,582.98,12602700,0,1,292.6233001,294.3177808,287.0114769,292.3925879,12602700
22/01/2010,564.5,570.6,534.86,550.01,13587100,0,1,283.1239766,286.1834208,268.258087,275.8565427,13587100
25/01/2010,546.59,549.8775,535.51,540,8830900,0,1,274.1412478,275.7900876,268.5840934,270.8360449,8830900
26/01/2010,537.97,549.6,536.29,542.42,8702200,0,1,269.817902,275.6509079,268.975301,272.0497916,8702200
27/01/2010,541.27,547.65,535.31,542.1,7920800,0,1,271.4730112,274.6728889,268.4837837,271.8892962,7920800
28/01/2010,544.49,546.9999,530.6,534.29,6451700,0,1,273.0879965,274.3468324,266.1214916,267.9722045,6451700
29/01/2010,538.49,540.99,525.61,529.944,8272700,0,1,270.0787071,271.3325777,263.6187659,265.7924759,8272700
01/02/2010,534.602,535.81,530.3,533.02,4497000,0,1,268.1286876,268.7345578,265.9710271,267.3352383,4497000
02/02/2010,534.9554,534.96,527.61,531.12,8184200,0,1,268.3059347,268.3082418,264.6218623,266.3822966,8184200
03/02/2010,528.67,542.1,528.23,540.82,5992200,0,1,265.1535035,271.8892962,264.9328222,271.2473145,5992200
04/02/2010,537,538,525.56,526.778,6748600,0,1,269.3314002,269.8329485,263.5936885,264.2045742,6748600
05/02/2010,528.4,533.4985,522.46,531.29,6305600,0,1,265.0180854,267.5752291,262.0388889,266.4675598,6305600
08/02/2010,532.5,542,531.5301,533.47,5383200,0,1,267.0744332,271.8391414,266.5879816,267.560935,5383200
09/02/2010,539.54,541.53,535.07,536.44,5633500,0,1,270.6053327,271.6034137,268.3634121,269.0505332,5633500
10/02/2010,534.07,537.79,527.69,534.445,5343600,0,1,267.8618639,269.7276233,264.6619862,268.0499445,5343600
11/02/2010,532.25,540.49,529.5,536.4,4815100,0,1,266.9490461,271.0818036,265.5697885,269.0304713,4815100
12/02/2010,532.97,537.15,530.5,533.12,4554800,0,1,267.3101609,269.4066325,266.0713367,267.3853931,4554800
16/02/2010,537.14,544.13,534.3,541.3,7301400,0,1,269.401617,272.9074391,267.97722,271.4880576,7301400
17/02/2010,542,543.4,537.61,538.207,4055300,0,1,271.8391414,272.5413089,269.6373447,269.9367689,4055300
18/02/2010,537.54,545.01,536.14,543.22,4669100,0,1,269.6022363,273.3488016,268.9000688,272.4510302,4669100
19/02/2010,541,544.03,539.7,540.763,5101000,0,1,271.3375932,272.8572843,270.6855805,271.2187262,5101000
22/02/2010,547.35,547.5,541,542.8,4284900,0,1,274.5224244,274.5976567,271.3375932,272.24038,4284900
23/02/2010,543,543.63,532.29,535.07,5739400,0,1,272.3406896,272.656665,266.9691081,268.3634121,5739400
24/02/2010,534.39,538.44,530.51,531.47,4648500,0,1,268.0223593,270.0536297,266.0763522,266.5578385,4648500
25/02/2010,527.12,528.4899,520,526.43,6611700,0,1,264.3761037,265.0631746,260.8050803,264.0300354,6611700
26/02/2010,527.42,531.75,523.48,526.8,4094500,0,1,264.5265682,266.698272,262.5504681,264.2156083,4094500
01/03/2010,529.2,533.29,527.74,532.69,4471300,0,1,265.419324,267.4706563,264.6870636,267.1697274,4471300
02/03/2010,535.48,545.66,535.01,541.06,8704800,0,1,268.5690469,273.6748079,268.3333193,271.3676861,8704800
03/03/2010,542.36,548.12,539.25,545.32,6172600,0,1,272.0196988,274.9086166,270.4598838,273.5042815,6172600
04/03/2010,546.5,556.13,546.2,554.59,6361200,0,1,274.0961084,278.9260179,273.945644,278.1536336,6361200
05/03/2010,561.35,567.67,559.9,564.21,7816500,0,1,281.5440997,284.7138845,280.8168547,282.9785276,7816500
08/03/2010,564.78,565.18,561.01,562.48,4768000,0,1,283.2644101,283.4650294,281.3735733,282.1108492,4768000
09/03/2010,559.85,564.66,556.5,560.19,6346800,0,1,280.7917773,283.2042243,279.1115907,280.9623037,6346800
10/03/2010,563.76,578.5,562.21,576.45,11298400,0,1,282.7528309,290.1456518,281.9754311,289.117478,11298400
11/03/2010,574.26,586.21,574.2,581.14,8458100,0,1,288.0190873,294.0125887,287.9889944,291.4697392,8458100
12/03/2010,588.14,588.275,579.16,579.54,5501200,0,1,294.9805768,295.0482858,290.4766737,290.667262,5501200
15/03/2010,566.68,569.45,556,563.18,9298400,0,1,284.2173517,285.6066403,278.8608166,282.4619329,9298400
16/03/2010,561.83,568.42,560.76,565.2,6856100,0,1,281.7848428,285.0900457,281.2481862,283.4750604,6856100
17/03/2010,568.3,571.4499,564.2501,565.56,6636500,0,1,285.0298599,286.6096866,282.9986397,283.6556177,6636500
18/03/2010,564.72,568.44,562.96,566.4,3550800,0,1,283.2343172,285.1000766,282.3515923,284.0769182,3550800
19/03/2010,566.23,568,557.28,560,9578800,0,1,283.991655,284.8793954,279.5027984,280.8670096,9578800
22/03/2010,556.11,566.85,554.28,557.5,8001500,0,1,278.9159869,284.3026149,277.9981537,279.613139,8001500
23/03/2010,557.04,558.312,542,549,10991500,0,1,279.3824268,280.0203961,271.8391414,275.349979,10991500
24/03/2010,545.51,559.8495,539.7,557.33,13117200,0,1,273.5995757,280.7915265,270.6855805,279.5278758,13117200
25/03/2010,560.48,572,558.66,562.88,7853900,0,1,281.1077527,286.8855883,280.1949349,282.3114685,7853900
26/03/2010,565.27,567.39,560.0201,562.69,5387000,0,1,283.5101687,284.573451,280.8770907,282.2161743,5387000
29/03/2010,563,564.72,560.57,562.45,6202700,0,1,282.3716542,283.2343172,281.152892,282.0958027,6202700
30/03/2010,562.83,567.63,560.28,566.71,3951800,0,1,282.286391,284.6938226,281.0074431,284.2323982,3951800
31/03/2010,565.05,569.74,562.81,567.12,6055500,0,1,283.3998281,285.7520893,282.2763601,284.438033,6055500
01/04/2010,571.35,573.45,565.55,568.8,4201100,0,1,286.559582,287.6128333,283.6506022,285.280634,4201100
05/04/2010,570.9,574.88,569,571.01,3799100,0,1,286.3338853,288.3300472,285.3809436,286.3890556,3799100
06/04/2010,569.46,570.89,565.4,568.22,4116000,0,1,285.6116558,286.3288698,283.57537,284.989736,4116000
07/04/2010,567.3,568.75,561.86,563.54,5156800,0,1,284.5283116,285.2555566,281.7998893,282.6424903,5156800
